Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,,,,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
master-cleanse-sol-warrior-protection-mist,Master Cleanse - Sol-Warrior - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Sol-Warrior",true,Size,16,30,21,30,Master_Cleanse,Protection_Mist,Sol-Warrior,60ml,,,,,Master Cleanse - Sol-Warrior - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Sol-Warrior - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-sol-warrior-protection-mist,,,,,,,,16,30,21,30,Master_Cleanse,Protection_Mist,Sol-Warrior,120ml,,,,,Master Cleanse - Sol-Warrior - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-soul-strings-the-key-protection-mist,Master Cleanse - Soul Strings - The Key - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Soul Strings - The Key",true,Size,16,41,31,41,Master_Cleanse,Protection_Mist,Soul_Strings_-_The_Key,60ml,,,,,Master Cleanse - Soul Strings - The Key - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Soul Strings - The Key - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-soul-strings-the-key-protection-mist,,,,,,,,16,41,31,41,Master_Cleanse,Protection_Mist,Soul_Strings_-_The_Key,120ml,,,,,Master Cleanse - Soul Strings - The Key - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-spirit-soul-retrieval-protection-mist,Master Cleanse - Spirit/Soul Retrieval - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Spirit Soul Retrieval",true,Size,16,#VALUE!,40,40,Master_Cleanse,Protection_Mist,Spirit_Soul_Retrieval,60ml,,,,,Master Cleanse - Spirit Soul Retrieval - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Spirit/Soul Retrieval - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-spirit-soul-retrieval-protection-mist,,,,,,,,16,#VALUE!,40,40,Master_Cleanse,Protection_Mist,Spirit_Soul_Retrieval,120ml,,,,,Master Cleanse - Spirit Soul Retrieval - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-surrender-protection-mist,Master Cleanse - Surrender - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Surrender",true,Size,16,#VALUE!,28,28,Master_Cleanse,Protection_Mist,Surrender,60ml,,,,,Master Cleanse - Surrender - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Surrender - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-surrender-protection-mist,,,,,,,,16,#VALUE!,28,28,Master_Cleanse,Protection_Mist,Surrender,120ml,,,,,Master Cleanse - Surrender - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-the-lovers-protection-mist,Master Cleanse - The Lovers - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: The Lovers",true,Size,16,#VALUE!,29,29,Master_Cleanse,Protection_Mist,The_Lovers,60ml,,,,,Master Cleanse - The Lovers - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - The Lovers - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-the-lovers-protection-mist,,,,,,,,16,#VALUE!,29,29,Master_Cleanse,Protection_Mist,The_Lovers,120ml,,,,,Master Cleanse - The Lovers - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-traveller-shaman-2.0-protection-mist,Master Cleanse - Traveller - Shaman 2.0 - Protection Mist,,Wild Woman Medicine Show,product,"Line: Master Cleanse, Type: Protection Mist, Scent: Traveller - Shaman 2.0",true,Size,16,41,28,41,Master_Cleanse,Protection_Mist,Traveller_-_Shaman_2.0,60ml,,,,,Master Cleanse - Traveller - Shaman 2.0 - Protection Mist - 60ml,60,,0,deny,manual,12,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/Coming_Soon.png,1,Master Cleanse - Traveller - Shaman 2.0 - Protection Mist,false,,,,,,,,,,,,,,,,,g,,,active
master-cleanse-traveller-shaman-2.0-protection-mist,,,,,,,,16,41,28,41,Master_Cleanse,Protection_Mist,Traveller_-_Shaman_2.0,120ml,,,,,Master Cleanse - Traveller - Shaman 2.0 - Protection Mist - 120ml,120,,0,deny,manual,20,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,,,active
