,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,,,,,Product Line,Product Type,Product Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vintage-litsea-cubeba-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Litsea_Cubeba_-_Front.png,1,Vintage - Litsea Cubeba - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Litsea_Cubeba_-_Front.png,g,,,active
vintage-maple-syrup-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Maple_Syrup_-_Front.png,1,Vintage - Maple Syrup - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Maple_Syrup_-_Front.png,g,,,active
vintage-marjoram-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Marjoram_-_Front.png,1,Vintage - Marjoram - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Marjoram_-_Front.png,g,,,active
vintage-melissa-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Melissa_-_Front.png,1,Vintage - Melissa - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Melissa_-_Front.png,g,,,active
vintage-myrtle-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Myrtle_-_Front.png,1,Vintage - Myrtle - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Myrtle_-_Front.png,g,,,active
vintage-ocean-breeze-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Ocean_Breeze_-_Front.png,1,Vintage - Ocean Breeze - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Ocean_Breeze_-_Front.png,g,,,active
vintage-opium-fragrance-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Opium_-_Front.png,1,Vintage - Opium - Fragrance Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Fragrance_Oil_-_15ml_-_Vintage_-_Opium_-_Front.png,g,,,active
vintage-palmarosa-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Palmarosa_-_Front.png,1,Vintage - Palmarosa - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Palmarosa_-_Front.png,g,,,active
vintage-palo-santo-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Palo_Santo_-_Front.png,1,Vintage - Palo Santo - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Palo_Santo_-_Front.png,g,,,active
vintage-patchouli-light-essential-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Patchouli_Light_-_Front.png,1,Vintage - Patchouli Light - Essential Oil,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/files/WWMS_-_Essential_Oil_-_15ml_-_Vintage_-_Patchouli_Light_-_Front.png,g,,,active
